record,score,price,state,variety
1,87,14,Oregon,Pinot Gris
2,87,13,Michigan,Riesling
3,87,65,Oregon,Pinot Noir
4,87,19,California,Cabernet Sauvignon
5,87,34,California,Cabernet Sauvignon
6,87,12,California,Chardonnay
7,87,32,Virginia,Meritage
8,87,23,Virginia,Red Blend
9,87,20,Oregon,�
10,87,22,California,Merlot
11,87,69,California,Pinot Noir
12,86,16,California,Chenin Blanc
13,86,50,California,Red Blend
14,86,20,California,Sauvignon Blanc
15,86,50,Oregon,Pinot Noir
16,86,22,Oregon,Pinot Noir
17,86,14,California,Sauvignon Blanc
18,86,40,Virginia,Red Blend
19,86,13,California,Riesling
20,86,16,Virginia,Sauvignon Blanc
21,85,30,California,Chardonnay
22,85,14,California,Chardonnay
23,86,55,Washington,Malbec
24,86,100,California,Cabernet Sauvignon
25,86,25,Washington,Cabernet Franc
26,86,26,California,Sauvignon Blanc
27,86,46,Washington,Bordeaux-style Red Blend
28,86,12,California,Red Blend
29,86,12,Washington,Chardonnay
30,86,40,California,Cabernet Sauvignon
31,86,75,California,Cabernet Sauvignon
32,86,55,California,Petite Sirah
33,86,75,California,Bordeaux-style Red Blend
34,86,25,Oregon,Pinot Noir
35,86,24,California,Zinfandel
36,86,20,Washington,Albariño
37,86,55,California,Merlot
38,88,23,California,Red Blend
39,88,18,California,Pinot Gris
40,88,55,California,Meritage
41,88,22,Washington,Viognier
42,88,20,New York,Riesling
43,88,75,California,Bordeaux-style Red Blend
44,88,18,New York,Pinot Gris
45,87,20,New York,Riesling
46,87,20,New York,Riesling
47,87,26,California,Zinfandel
48,87,85,California,Cabernet Sauvignon
49,87,18,California,Bordeaux-style Red Blend
50,87,18,California,Chardonnay
51,87,25,California,Grenache Blanc
52,87,44,California,Syrah
53,92,36,California,Chardonnay
54,92,39,California,Zinfandel
55,92,45,California,Cabernet Sauvignon
56,91,78,California,Cabernet Sauvignon
57,90,17,California,Riesling
58,91,85,California,Cabernet Sauvignon
59,91,64,California,Pinot Noir
60,91,68,California,Cabernet Sauvignon
61,91,68,California,Cabernet Sauvignon
62,91,35,California,Rhône-style Red Blend
63,91,25,California,Cabernet Sauvignon
64,91,55,California,Pinot Noir
65,91,46,California,Syrah
66,91,36,California,Syrah
67,91,35,California,Red Blend
68,91,28,California,Riesling
69,91,28,California,Cabernet Franc
70,91,95,California,Merlot
71,91,44,California,Pinot Noir
72,91,38,Oregon,Pinot Noir
73,88,25,California,Syrah
74,88,23,California,Chardonnay
75,88,36,California,Pinot Noir
76,88,35,California,Chardonnay
77,88,40,California,Pinot Noir
78,90,60,California,Cabernet Sauvignon
79,90,28,California,Cabernet Franc
80,90,30,California,G-S-M
81,90,25,California,Chardonnay
82,90,25,California,Cabernet Sauvignon
83,90,32,California,Zinfandel
84,90,48,California,Red Blend
85,90,36,California,Rhône-style Red Blend
86,90,20,California,Fumé Blanc
87,90,40,California,Chardonnay
88,85,15,New York,Pinot Noir
